Fiscal Quarter,Fiscal Month,Location,Model Group,No of Billied Ros  ,Acc Sale throughROs (GNDP)In Rs,Acc Sale throughROs (MRP) In Rs,No of Counter ROs  ,Acc Sale throughCounter (GNDP) In Rs,Acc Sale throughCounter (MRP) In Rs,Acc Revenue (GNDP) / RO  ,Acc Revenue (MRP) / RO  
Q4,Jan,AMRAVATI,-,0,0.00,0.00,35,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,BOLERO,5,213.84,324.00,0,0.00,0.00,42.77,64.80
Q4,Jan,AMRAVATI,BOLERO NEO,17,"6,605.32","9,743.00",0,0.00,0.00,388.55,573.12
Q4,Jan,AMRAVATI,BOLERO P,2,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,CAMPER,2,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,JEETO,10,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,KUV100,1,53.46,81.00,0,0.00,0.00,53.46,81.00
Q4,Jan,AMRAVATI,MAXX HD,6,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,NEW SCORPIO,3,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,NEW THAR,5,106.92,162.00,0,0.00,0.00,21.38,32.40
Q4,Jan,AMRAVATI,PICK UP,7,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,SCORPIO CLASSIC,9,320.76,486.00,0,0.00,0.00,35.64,54.00
Q4,Jan,AMRAVATI,SCORPIO-N,7,267.30,405.00,0,0.00,0.00,38.19,57.86
Q4,Jan,AMRAVATI,SUPRO-MT,5,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,THAR ROXX,3,106.92,162.00,0,0.00,0.00,35.64,54.00
Q4,Jan,AMRAVATI,TREO,5,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,TREO PLUS,7,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,TUV300,3,53.46,81.00,0,0.00,0.00,17.82,27.00
Q4,Jan,AMRAVATI,VEERO,2,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,AMRAVATI,XUV3XO,14,"13,918.35","22,689.00",0,0.00,0.00,994.17,"1,620.64"
Q4,Jan,AMRAVATI,XUV300,8,213.84,324.00,0,0.00,0.00,26.73,40.50
Q4,Jan,AMRAVATI,XUV400,3,53.46,81.00,0,0.00,0.00,17.82,27.00
Q4,Jan,AMRAVATI,XUV500,1,53.46,81.00,0,0.00,0.00,53.46,81.00
Q4,Jan,AMRAVATI,XUV700,24,"5,225.96","8,125.00",0,0.00,0.00,217.75,338.54
Q4,Jan,AMRAVATI,ZOR GRAND,2,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,BOLERO,7,159.06,241.00,0,0.00,0.00,22.72,34.43
Q4,Jan,CHAUFULA_SZZ,BOLERO NEO,3,106.92,162.00,0,0.00,0.00,35.64,54.00
Q4,Jan,CHAUFULA_SZZ,BOLERO P,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,CAMPER,2,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,JEETO,5,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,MAXI TRUCK,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,MAXX,3,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,MAXX HD,19,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,MAXXIMO LOAD,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,NEW SCORPIO,4,106.92,162.00,0,0.00,0.00,26.73,40.50
Q4,Jan,CHAUFULA_SZZ,NEW THAR,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,PICK UP,5,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,SCORPIO CLASSIC,2,52.80,80.00,0,0.00,0.00,26.40,40.00
Q4,Jan,CHAUFULA_SZZ,SCORPIO-N,4,106.92,162.00,0,0.00,0.00,26.73,40.50
Q4,Jan,CHAUFULA_SZZ,SUPRO-MT,4,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,THAR ROXX,1,52.80,80.00,0,0.00,0.00,52.80,80.00
Q4,Jan,CHAUFULA_SZZ,VEERO,5,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,XUV3XO,4,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,XUV300,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHAUFULA_SZZ,XUV700,6,53.46,81.00,0,0.00,0.00,8.91,13.50
Q4,Jan,CHIKHALI,-,0,0.00,0.00,25,0.00,0.00,0.00,0.00
Q4,Jan,CHIKHALI,CAMPER,10,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHIKHALI,GENIO,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHIKHALI,MAXI TRUCK,3,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHIKHALI,MAXX,11,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHIKHALI,MAXX HD,36,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHIKHALI,PICK UP,22,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHIKHALI,SUPRO Load,4,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,CHIKHALI,SUPRO-MT,11,179.80,290.00,0,0.00,0.00,16.35,26.36
Q4,Jan,CHIKHALI,VEERO,5,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,-,0,0.00,0.00,33,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,BE 6,2,53.46,81.00,0,0.00,0.00,26.73,40.50
Q4,Jan,KOLHAPUR_WS,BOLERO,3,53.46,81.00,1,0.00,0.00,13.37,20.25
Q4,Jan,KOLHAPUR_WS,BOLERO NEO,5,"16,872.94","26,881.00",0,0.00,0.00,"3,374.59","5,376.20"
Q4,Jan,KOLHAPUR_WS,BOLERO NEO PLUS,1,0.00,0.00,1,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,KUV100,0,0.00,0.00,1,"3,281.80","3,281.80","3,281.80","4,880.00"
Q4,Jan,KOLHAPUR_WS,MAXI TRUCK,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,MAXX,9,0.00,0.00,1,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,MAXX HD,17,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,NEW SCORPIO,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,NEW THAR,13,"1,661.52","2,751.00",2,0.00,0.00,110.77,183.40
Q4,Jan,KOLHAPUR_WS,PICK UP,4,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,SCORPIO,1,53.46,81.00,1,"2,356.44","2,356.44","1,204.95","1,792.50"
Q4,Jan,KOLHAPUR_WS,SCORPIO CLASSIC,2,53.46,81.00,0,0.00,0.00,26.73,40.50
Q4,Jan,KOLHAPUR_WS,SCORPIO-N,16,424.92,654.00,0,0.00,0.00,26.56,40.88
Q4,Jan,KOLHAPUR_WS,SUPRO-MT,8,0.00,0.00,3,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,THAR ROXX,4,741.17,"1,237.00",4,0.00,0.00,92.65,154.63
Q4,Jan,KOLHAPUR_WS,VEERO,8,0.00,0.00,2,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,XEV 9E,9,"29,097.21","40,437.00",0,0.00,0.00,"3,233.02","4,493.00"
Q4,Jan,KOLHAPUR_WS,XUV3XO,10,"7,889.96","12,025.00",0,0.00,0.00,789.00,"1,202.50"
Q4,Jan,KOLHAPUR_WS,XUV300,4,106.92,162.00,1,0.00,0.00,21.38,32.40
Q4,Jan,KOLHAPUR_WS,XUV400,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,KOLHAPUR_WS,XUV500,1,105.54,165.00,0,0.00,0.00,105.54,165.00
Q4,Jan,KOLHAPUR_WS,XUV700,25,"23,947.78","36,131.00",0,0.00,0.00,957.91,"1,445.24"
Q4,Jan,NAGPUR_KAMPTHEE ROAD,-,0,0.00,0.00,42,0.00,0.00,0.00,0.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,BE 6,1,58.32,81.00,0,0.00,0.00,58.32,81.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,BOLERO,8,"2,339.82","3,591.00",0,0.00,0.00,292.48,448.88
Q4,Jan,NAGPUR_KAMPTHEE ROAD,BOLERO NEO,27,291.60,405.00,1,0.00,0.00,10.41,14.46
Q4,Jan,NAGPUR_KAMPTHEE ROAD,BOLERO NEO PLUS,5,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,BOLERO P,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,MARAZZO,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,MAXX HD,1,"1,666.36","2,441.00",0,0.00,0.00,"1,666.36","2,441.00"
Q4,Jan,NAGPUR_KAMPTHEE ROAD,NEW SCORPIO,5,"4,468.96","7,208.00",0,0.00,0.00,893.79,"1,441.60"
Q4,Jan,NAGPUR_KAMPTHEE ROAD,NEW THAR,12,"2,993.66","4,723.00",0,0.00,0.00,249.47,393.58
Q4,Jan,NAGPUR_KAMPTHEE ROAD,PICK UP,2,"3,120.46","4,100.00",0,0.00,0.00,"1,560.23","2,050.00"
Q4,Jan,NAGPUR_KAMPTHEE ROAD,SCORPIO CLASSIC,13,116.64,162.00,0,0.00,0.00,8.97,12.46
Q4,Jan,NAGPUR_KAMPTHEE ROAD,SCORPIO-N,28,"4,841.89","7,388.00",3,0.00,0.00,156.19,238.32
Q4,Jan,NAGPUR_KAMPTHEE ROAD,THAR,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,THAR ROXX,6,116.64,162.00,1,0.00,0.00,16.66,23.14
Q4,Jan,NAGPUR_KAMPTHEE ROAD,TREO PLUS,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,TUV300,1,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,TUV300 PLUS,0,0.00,0.00,1,0.00,0.00,0.00,0.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,XEV 9E,8,233.28,324.00,0,0.00,0.00,29.16,40.50
Q4,Jan,NAGPUR_KAMPTHEE ROAD,XUV3XO,18,"5,162.52","8,394.00",0,0.00,0.00,286.81,466.33
Q4,Jan,NAGPUR_KAMPTHEE ROAD,XUV300,26,"1,735.12","2,788.00",0,0.00,0.00,66.74,107.23
Q4,Jan,NAGPUR_KAMPTHEE ROAD,XUV400,5,0.00,0.00,0,0.00,0.00,0.00,0.00
Q4,Jan,NAGPUR_KAMPTHEE ROAD,XUV500,5,58.32,81.00,0,0.00,0.00,11.66,16.20
Q4,Jan,NAGPUR_KAMPTHEE ROAD,XUV700,38,174.96,243.00,3,0.00,0.00,4.27,5.93
